Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-KMS5","SageMakerDomainStack/athena_s3_output_kms_key/Resource","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-KMS5","SageMakerDomainStack/sagemaker_kms_key/Resource","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-VPC7","SageMakerDomainStack/sagemaker_vpc/Resource","Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-IAM4","SageMakerDomainStack/sagemaker_vpc/s3/IAMRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","SageMakerDomainStack/sagemaker_vpc/s3/IAMRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SageMakerDomainStack/sagemaker_vpc/s3/IAMRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-EC23","SageMakerDomainStack/sagemaker_workload_sg/Resource","UNKNOWN","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","SageMakerDomainStack/sagemaker_workload_sg/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","SageMakerDomainStack/sagemaker_workload_sg/from SageMakerDomainStacksagemakerworkloadsg672AA727:8192-65535","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","SageMakerDomainStack/sagemaker_workload_sg/from SageMakerDomainStacksagemakerworkloadsg672AA727:UDP 500","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","SageMakerDomainStack/sagemaker_workload_sg/from SageMakerDomainStacksagemakerworkloadsg672AA727:ESP 50","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","SageMakerDomainStack/sagemaker_workload_sg/from SageMakerDomainStacksagemakerworkloadsg672AA727:443","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-S1","SageMakerDomainStack/s3_access_logs/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","SageMakerDomainStack/s3_access_logs/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","SageMakerDomainStack/s3_access_logs/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","SageMakerDomainStack/s3_access_logs/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","SageMakerDomainStack/s3_access_logs/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S1","SageMakerDomainStack/athena_output_s3_bucket/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","SageMakerDomainStack/athena_output_s3_bucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","SageMakerDomainStack/athena_output_s3_bucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","SageMakerDomainStack/athena_output_s3_bucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","SageMakerDomainStack/athena_output_s3_bucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-IAM4","SageMakerDomainStack/sagemaker_user_profile_role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","SageMakerDomainStack/sagemaker_user_profile_role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SageMakerDomainStack/SageMakerStudioUserProfileManagedPolicy/Resource","Suppressed","The specific actions in the S3Read and LakeFormationAllow SID require * resource. The actions are all read-only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SageMakerDomainStack/SageMakerStudioUserProfileManagedPolicy/Resource","Suppressed","The specific actions in the S3Read and LakeFormationAllow SID require * resource. The actions are all read-only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SageMakerDomainStack/SageMakerStudioUserProfileManagedPolicy/Resource","Suppressed","The specific actions in the S3Read and LakeFormationAllow SID require * resource. The actions are all read-only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SageMakerDomainStack/SageMakerStudioUserProfileManagedPolicy/Resource","Suppressed","The specific actions in the S3Read and LakeFormationAllow SID require * resource. The actions are all read-only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SageMakerDomainStack/SageMakerStudioUserProfileManagedPolicy/Resource","Suppressed","The specific actions in the S3Read and LakeFormationAllow SID require * resource. The actions are all read-only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SageMakerDomainStack/SageMakerStudioUserProfileManagedPolicy/Resource","Suppressed","The specific actions in the S3Read and LakeFormationAllow SID require * resource. The actions are all read-only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
